CPU Name ,"CPU Mark
","Rank
"
Intel Xeon Gold 6230 @ 2.10GHz,"26,076",558
Intel Core i7-14701E,"26,057",559
AMD Ryzen 7 PRO 5845,"26,054",560
AMD EPYC 7351P,"26,042",561
AMD EPYC 7551,"25,996",562
Intel Core Ultra 7 165H,"25,967",563
Intel Core i9-10920X @ 3.50GHz,"25,947",564
AMD Ryzen Threadripper 2990X,"25,874",565
AMD Ryzen 7 5800,"25,821",566
Intel Core i5-14400F,"25,764",567
Intel Core i9-12900HK,"25,663",568
Intel Core 7 250H,"25,655",569
Intel Xeon W-2265 @ 3.50GHz,"25,633",570
Intel Core i9-7940X @ 3.10GHz,"25,611",571
AMD Ryzen 5 7400F,"25,607",572
Intel Xeon E5-2698R v4 @ 2.20GHz,"25,605",573
AMD Ryzen 5 7600X3D,"25,604",574
Intel Core i7-12700H,"25,594",575
Intel Xeon W-3235 @ 3.30GHz,"25,539",576
Intel Xeon Gold 6142 @ 2.60GHz,"25,490",577
Intel Xeon Platinum 8167M @ 2.00GHz,"25,396",578
Intel Core Ultra 5 225T,"25,358",579
Intel Xeon Platinum 8124M @ 3.00GHz,"25,350",580
AMD Ryzen 5 8600G,"25,289",581
Intel Core i5-14400,"25,266",582
AMD EPYC 7272,"25,161",583
AMD Ryzen Threadripper 2920X,"25,154",584
Qualcomm Snapdragon X Elite - X1E-84-100,"25,101",585
AMD Ryzen 5 PRO 8600G,"25,080",586
Intel Xeon W-1390P @ 3.50GHz,"25,073",587
Intel Core i5-13450HX,"25,054",588
Intel Core 7 240H,"25,051",589
Intel Xeon E5-2699 v4 @ 2.20GHz,"25,039",590
Intel Core i5-13400F,"25,038",591
Intel Core i9-11900K @ 3.50GHz,"25,025",592
Intel Xeon E5-2696 v4 @ 2.20GHz,"25,008",593
Intel Xeon Gold 5218R @ 2.10GHz,"25,000",594
Intel Xeon Gold 6242 @ 2.80GHz,"24,994",595
AMD Ryzen 7 8840HS,"24,961",596
Intel Core i9-9920X @ 3.50GHz,"24,935",597
AMD EPYC 7501,"24,925",598
Apple M3 Pro 11 Core,"24,880",599
